subjectID,session,delayMsec,trial,isAnimal,response,numberDistractors
KAE,1,60,33,1,1,128
KAE,1,60,34,1,0,129
KAE,1,60,35,1,1,125
KAE,1,60,36,1,1,127
KAE,1,60,37,1,1,128
KAE,1,60,38,1,1,129
KAE,1,60,39,1,1,130
KAE,1,60,40,1,1,132
KAE,1,60,41,0,0,133
KAE,1,60,42,0,0,134
KAE,1,60,43,1,1,135
KAE,1,60,44,0,0,136
KAE,1,60,45,0,0,137
KAE,1,60,46,0,0,138
KAE,1,60,47,1,1,139
KAE,1,60,48,0,1,140
KAE,1,60,49,1,1,137
KAE,1,60,50,1,1,138
KAE,1,-10,1,1,0,50
KAE,1,-10,2,0,0,21
KAE,1,-10,3,0,0,25
KAE,1,-10,4,1,1,29
KAE,1,-10,5,0,0,33
KAE,1,-10,6,1,1,36
KAE,1,-10,7,0,0,40
KAE,1,-10,8,1,1,43
KAE,1,-10,9,1,1,47
KAE,1,-10,10,0,0,50
KAE,1,-10,11,0,0,53
KAE,1,-10,12,1,1,57
KAE,1,-10,13,0,0,61
KAE,1,-10,14,0,1,66
KAE,1,-10,15,1,1,52
KAE,1,-10,16,0,0,54
KAE,1,-10,17,1,1,56
KAE,1,-10,18,0,0,58
KAE,1,-10,19,1,1,60
KAE,1,-10,20,1,1,62
KAE,1,-10,21,1,0,63
KAE,1,-10,22,0,0,58
KAE,1,-10,23,0,0,59
KAE,1,-10,24,0,0,61
KAE,1,-10,25,1,1,62
KAE,1,-10,26,1,1,63
KAE,1,-10,27,0,0,64
KAE,1,-10,28,1,1,65
KAE,1,-10,29,0,0,66
KAE,1,-10,30,0,0,67
KAE,1,-10,31,1,0,69
KAE,1,-10,32,0,0,65
KAE,1,-10,33,0,0,66
KAE,1,-10,34,0,1,67
KAE,1,-10,35,1,1,65
KAE,1,-10,36,0,0,66
KAE,1,-10,37,1,1,66
KAE,1,-10,38,1,1,67
KAE,1,-10,39,1,1,68
KAE,1,-10,40,0,0,69
KAE,1,-10,41,0,0,69
KAE,1,-10,42,1,1,70
KAE,1,-10,43,1,1,71
KAE,1,-10,44,0,1,71
KAE,1,-10,45,0,0,69
KAE,1,-10,46,0,0,70
KAE,1,-10,47,1,1,71
KAE,1,-10,48,1,1,71
KAE,1,-10,49,1,0,72
KAE,1,-10,50,1,1,70
KAE,1,0,1,0,1,50
KAE,1,0,2,1,1,21
KAE,1,0,3,0,0,25
KAE,1,0,4,0,0,29
KAE,1,0,5,1,1,33
KAE,1,0,6,1,1,36
KAE,1,0,7,0,0,40
KAE,1,0,8,0,1,43
KAE,1,0,9,1,1,34
KAE,1,0,10,0,0,36
KAE,1,0,11,0,0,38
KAE,1,0,12,1,1,40
